cytoband	13q14.12	21q22.3	10q23.31	5q11.2	8p21.2	6q15	12p13.1	16q24.1	16q22.2	17p13.1	5q13.2	1p36.22	18q22.3	9p21.3	5q22.3	1p31.3	15q11.2	2q31.1	1q32.3	9p24.2	4q35.1	
												PPFIA4		FRG1JP							LIN54	
												PIK3R3		LOC642929							SPATA18	
												MMP23B		LOC642943							C4orf32	
												MMP23A		LINC01189							TMPRSS11B	
												KCNAB2		CNTNAP3P2							GNPDA2	
												ITGA10		CBWD6							SPATA4	
												LMO4		FLJ43315							CPEB2	
												FCN3		SPATA31C2							EVC2	
												BLZF1		HRCT1							ARL9	
												CDC14A		SPATA31A1							AASDH	
												DEGS1		LRRC37A5P							PDCL2	
												YARS		RPSAP9							C4orf36	
												MKNK1		FOXD4L6							PACRGL	
												AKR7A2		FOXD4L5							TRAM1L1	
												PLPP3		FGF7P3							OTOP1	
												RTCA		SCARNA8							ENPP6	
												PTCH2		MSMP							SLC9B2	
												ALDH4A1		SNORD90							ASB5	
												EIF3I		MIR600							SLC9B1	
												EIF4G3		MIR601							ZNF827	
												VAMP4		SPATA31A3							SH3D19	
												PEA15		SPATA31A5							NFXL1	
												B4GALT3		FAM74A3							NIPAL1	
												B4GALT2		CNTNAP3B							PAQR3	
												B3GALT2		LOC728673							SHISA3	
												TNFRSF25		ANKRD20A4							LINC01618	
												ADAM15		LOC730098							SCFD2	
												PABPC4		FAM166B							MGAT4D	
												TNFRSF14		CDKN2B-AS1							WWC2-AS2	
												TNFRSF18		SNORD121A							ZNF595	
												FPGT		LINC00583							LINC01085	
												PEX11B		SNORA84							FAM218A	
												CREG1		SNORA70C							JAKMIP1	
												CD84		MIR876							THAP6	
												PER3		MIR873							C4orf26	
												FUBP1		LOC100128076							KLB	
												EIF2B3		LOC100128361							FAM53A	
												BCL10		FAM225B							PPM1K	
												RAB29		ASTN2-AS1							C4orf45	
												SELENBP1		LINC00476							TRMT44	
												TNFSF18		LOC100129034							RASGEF1B	
												TAF1A		UNQ6494							SPATA5	
												MPZL1		TOPORS-AS1							BBS12	
												SH2D2A		LOC100129316							DCLK2	
												ARTN		LINC00484							ADGRA3	
												MAP3K6		C9orf92							TRIM60	
												ANGPTL1		IZUMO3							FREM3	
												DIRAS3		FAM205C							MMAA	
												TBX19		FAM27E3							ZBTB49	
												FCGR2C		LOC100132077							TIGD2	
												SLC16A4		LOC100132249							RASSF6	
												PRPF3		FRG1HP							RBM46	
												KCNQ4		GXYLT1P3							SGMS2	
												ARHGEF2		LOC100132781							COX7B2	
												DEDD		FAM27C							GSX2	
												ZMYM4		FAM95B1							ZNF721	
												ZMYM6		FAM27B							SYNPO2	
												XPR1		LINC00092							C4orf46	
												FCMR		VPS13A-AS1							SLC10A4	
												DHRS3		LOC100288842							TIGD4	
												MAPKAPK2		SLC25A25-AS1							TMEM154	
												GPR37L1		FAM27E2							LINC00504	
												GPR52		FAM95C							SMIM14	
												SRSF11		MIR1299							TMEM192	
												VAMP3		MIR1302-8							RWDD4	
												ZFYVE9		MIR2278							PRIMPOL	
												CD101		MIR181A2HG							TAPT1	
												SEP15		MIR3074							TAPT1-AS1	
												ZRANB2		MIR3152							TRIML2	
												SNRNP40		MIR3154							CNOT6L	
												ARHGAP29		MIR2861							TECRL	
												AIM2		MIR4291							LCORL	
												GGPS1		MIR3153							C4orf22	
												RASAL2		MIR4290							IGFBP7-AS1	
												THEMIS2		MIR4289							EPGN	
												ADAMTS4		CCDC180							ZNF718	
												TMEM59		LOC100499484							ELMOD2	
												SEC22B		MIR3910-1							NPNT	
												CHD1L		MIR3911							CCDC110	
												H6PD		MIR3927							MFSD8	
												SOX13		MIR3910-2							LOC256880	
												PRDX6		MIR3651							CCDC96	
												CLCA3P		LOC100505478							BOD1L1	
												CLCA2		LOC100505588							FDCSP	
												ISG15		LOC100506422							NAP1L5	
												IKBKE		EBLN3P							LINC01091	
												PLCH2		GAS1RR							DCAF4L1	
												HS2ST1		MAMDC2-AS1							CYP4V2	
												PDE4DIP		SMC5-AS1							F11-AS1	
												IPO13		LOC100507346							RPL34-AS1	
												SDC3		LINC01504							CTBP1-AS	
												SLC25A44		MSANTD3-TMEFF1							CRIPAK	
												KIAA0040		MIR4668							LOC285484	
												KDM4A		MIR4477A							DOK7	
												CROCC		MIR4667							LINC00955	
												PUM1		MIR4473							RNF212	
												NOS1AP		MIR3960							LINC01098	
												TMEM63A		MIR4540							FAM13A-AS1	
												CEP104		MIR4475							GPRIN3	
												RIMS3		MIR4478							COX18	
												TOMM20		MIR4670							YIPF7	
												EFCAB14		MIR4672							FRYL	
												URB2		MIR4474							RNF175	
												ARHGEF11		MIR4476							SEPSECS-AS1	
												DNAJC6		MIR548AU							LINC01097	
												CEP350		BANCR							LINC01096	
												LRIG2		NAMA							FAM200B	
												SETDB1		FAM74A7							STPG2	
												ZC3H11A		LINC01505							CSN1S2AP	
												SMG7		PTENP1-AS							NOP14-AS1	
												PLPPR4		SNORD121B							ZAR1	
												UBAP2L		DNAJB5-AS1							CCDC158	
												SV2A		ANKRD18CP							TMPRSS11A	
												KLHL21		LOC101926948							LOC339975	
												SLC35E2		LINC01506							TRIML1	
												DENND4B		LOC101927069							LRRC66	
												RABGAP1L		LINC01474							LOC339978	
												TMCC2		LOC101927358							NAT8L	
												FAM20B		C9orf41-AS1							LOC340017	
												ZBTB40		GNA14-AS1							LOC344967	
												LPGAT1		LOC101927450							PRSS48	
												MFN2		LINC01507							SOWAHB	
												KIF14		LOC101927502							LRIT3	
												RBM8A		LOC101927575							MSANTD1	
												THRAP3		LOC101927623							SLC10A6	
												NR1I3		LOC101927827							HSD17B13	
												INSL5		LOC101927847							FAM86EP	
												PIGK		LINC01508							ANKRD37	
												SCAMP3		LOC101927954							POLN	
												PTPRU		PCAT7							PCNAP1	
												ARPC5		LOC101928195							KCNIP4-IT1	
												TSPAN2		LOC101928381							KCTD8	
												TSPAN1		LOC101928438							LOC389199	
												CELA3A		TMEM246-AS1							SMIM20	
												PDZK1IP1		LINC01492							BEND4	
												WASF2		LOC101928523							GRXCR1	
												PATJ		SMC2-AS1							TMPRSS11F	
												PRG4		LINC01509							LOC389247	
												ANGPTL7		LOC101928748							USP17L6P	
												GPA33		LOC101928775							USP17L9P	
												STX6		LOC101928797							TRIM61	
												HNRNPR		LOC101929116							HELT	
												SRRM1		PTPRD-AS2							C4orf48	
												CNKSR1		LURAP1L-AS1							DTHD1	
												SF3B4		FOCAD-AS1							LOC401127	
												ZMPSTE24		LOC101929563							LOC401134	
												UBE4B		LINC01241							SYT14P1	
												BCAS2		LOC101929583							TMPRSS11BNL	
												AKR1A1		IFT74-AS1							PRR27	
												WARS2		LINC01243							AMTN	
												BPNT1		B4GALT1-AS1							CCSER1	
												CEPT1		LINC01251							LINC01061	
												PIAS3		LOC101929748							C4orf3	
												TESK2		MIR6851							LINC01060	
												TIMM17A		MIR6852							CFAP99	
												LRRN2		MIR6854							RPL21P44	
												PPIE		MIR7150							FAM92A1P2	
												VAV3		MIR7702							WDFY3-AS2	
												HAX1		MIR8081							MIR218-1	
												MAD2L2		MIR6853							MIR302A	
												PPIH		MIR6081							MIR95	
												C1orf61		LOC102723566							LOC439933	
												CAP1		LOC102723709							LINC00575	
												LRRC41		LOC102724156							CPEB2-AS1	
												SEMA6C		LOC102724238							MTHFD2L	
												LAMTOR5		LOC102724580							LOC441025	
												SLC19A2		LOC102725126							TMEM150C	
												IFI44		LINC01410							GUSBP5	
												POLR3C		RORB-AS1							LOC441052	
												IVNS1ABP		LOC103908605							C4orf47	
												TXNIP		LOC105376064							GALNTL6	
												PDPN		LOC105376114							MIR302B	
												LEFTY1		LOC105376194							MIR302C	
												SPHAR		LOC105376271							MIR302D	
												PMVK		LOC105379450							MIR367	
												KHDRBS1		XLOC_007697							FRG2	
												GMEB1		LINC01613							CISD2	
												FAM189B		SNORD137							UBA6-AS1	
												AP4B1									LOC550113	
												NUDC									UGT2A2	
												PHTF1									SLC7A11-AS1	
												MASP2									LINC00616	
												CAPN9									LEF1-AS1	
												NES									ZNF876P	
												KDM5B									SLED1	
												AHCYL1									USP46-AS1	
												SRSF10									LOC644145	
												CFHR4									SNCA-AS1	
												CFHR3									DEFB131	
												WDR3									TMPRSS11GP	
												OCLM									TNRC18P1	
												JTB									CLRN2	
												MTMR11									CEP170P1	
												MAN1A2									LOC645513	
												UTS2									HHIP-AS1	
												SF3A3									C4orf51	
												MLLT11									LOC650293	
												IFI44L									FLJ38576	
												EBNA1BP2									ZNF732	
												SLC27A3									SCARNA22	
												KIF2C									SNORA24	
												IL24									SNORA26	
												TDRKH									MIR571	
												RER1									MIR572	
												DNAJB4									MIR573	
												ADAM30									MIR574	
												RCAN3									MIR575	
												FAF1									MIR576	
												CD160									MIR577	
												GLMN									MIR578	
												HHLA3									LOC728040	
												CELF3									LINC00290	
												MST1P2									LOC728175	
												DDX20									USP17L24	
												DUSP10									USP17L25	
												MST1L									USP17L26	
												PADI2									USP17L27	
												PMF1									USP17L28	
												DUSP12									USP17L29	
												VPS45									USP17L30	
												LYPLA2									LOC729218	
												PARK7									LOC729307	
												CTRC									CETN4P	
												ACOT7									FAM160A1	
												COG2									LOC729870	
												CLCA4									FLJ36777	
												MTF2									MIR3945HG	
												DNAJC8									RELL1	
												NTNG1									PSAPL1	
												PLEKHA6									SNHG8	
												CLSTN1									MIR943	
												FOXJ3									MIR297	
												KIAA0907									SMARCA5-AS1	
												WDR47									FAM47E	
												KIFAP3									SCOC-AS1	
												ATF6									LOC100129917	
												SCMH1									LOC100129931	
												AKR7A3									FTLP10	
												TTC39A									LOC100130872	
												SPEN									CLDN24	
												KDM1A									LOC100133461	
												RBM34									EPHA5-AS1	
												USP33									PP12613	
												WDTC1									USP17L10	
												KIF21B									USP17L11	
												NMNAT2									USP17L12	
												EMC1									USP17L13	
												KIF1B									USP17L17	
												NFASC									USP17L18	
												POGZ									USP17L19	
												COLGALT2									USP17L20	
												MAST2									ERVMER34-1	
												NCDN									USP17L15	
												CLCC1									DUX4	
												SLC35D1									MIR1269A	
												RGL1									MIR1243	
												PLEKHM2									MIR1255A	
												SYT11									MIR2054	
												PRRC2C									MIR1305	
												FBXO28									MIR548I2	
												RPRD2									MIR1973	
												OTUD3									MIR1255B1	
												KAZN									MIR548G	
												CAMTA1									CSN1S2BP	
												ADGRL2									TMED11P	
												CAMSAP2									LOC100419170	
												KIAA1107									DBET	
												ZCCHC11									MIR4274	
												SZT2									MIR548T	
												DNAJC16									MIR3140	
												UBR4									MIR4275	
												USP24									MIR3138	
												SRGAP2									MIR3139	
												SMG5									MIR4276	
												NCSTN									THAP9-AS1	
												ATP13A2									MIR3945	
												CRB1									MIR3684	
												ITGB3BP									MIR3688-1	
												GPR161									LINC01095	
												TARDBP									LINC01094	
												CELA3B									LINC01088	
												SLC35A3									SLIT2-IT1	
												ABCB10									LOC100505912	
												ICMT									LINC01207	
												MACF1									APELA	
												LRRC8B									LINC00989	
												ZNF281									LOC100506085	
												SNAPIN									LOC100506107	
												LPAR3									LOC100506122	
												PADI4									LINC01093	
												DDAH1									LOC100506272	
												TMEM50A									LOC100506444	
												PHLDA3									SRD5A3-AS1	
												RUSC1									THEGL	
												CA14									LOC100506746	
												KPNA6									LVCAT1	
												SSBP3									BMPR1B-AS1	
												STX12									LOC100507053	
												DSTYK									GIMD1	
												RAB3GAP2									STX18-AS1	
												CFAP45									LOC100507388	
												LMOD1									LOC100507487	
												NBPF14									LINC00613	
												MPC2									LOC100507639	
												INTS7									LOC100508631	
												OLFML2B									SEC24B-AS1	
												C1orf43									MIR4455	
												CLIC4									MIR4453	
												NSL1									MIR378D1	
												SYF2									MIR4454	
												RWDD3									MIR4799	
												PARS2									MIR548AH	
												MMACHC									MIR4802	
												ZZZ3									MIR4450	
												ACOT11									MIR3688-2	
												CHD5									MIR4451	
												DNM3									MIR4800	
												TOR1AIP1									MIR5096	
												CHTOP									MIR4801	
												SZRD1									MIR4449	
												LDLRAP1									MIR548AG1	
												SERBP1									MIR4452	
												NOC2L									MIR4798	
												PTPN22									FAM47E-STBD1	
												PHGDH									HTT-AS	
												FBXO2									MIR5091	
												LCE2B									MIR5705	
												OPTC									MIR5591	
												FBXO6									LNX1-AS1	
												PLA2G2D									LNX1-AS2	
												AK5									LINC00499	
												MYCBP									LINC01216	
												OR10J1									ARHGEF38-IT1	
												HEYL									UGDH-AS1	
												AGO1									LOC100996286	
												RPS6KC1									LOC100996694	
												SNORA73B									IL21-AS1	
												SNORD81									LOC101060498	
												SNORD79									UCHL1-AS1	
												SNORD80									STPG2-AS1	
												SNORA66									GTF2IP12	
												SNORD47									LINC01365	
												SNORD45B									LINC00682	
												SNORD45A									LOC101927087	
												SNORD44									LOC101927157	
												SNORD55									LOC101927179	
												RNU11									ADGRL3-AS1	
												RNU6-1									LOC101927237	
												RNU5F-1									LOC101927282	
												RNU5E-1									LOC101927305	
												RNU5D-1									LOC101927359	
												RNVU1-7									LOC101927363	
												RNU1-3									LOC101927636	
												RNU1-2									SMAD1-AS2	
												RNU1-1									LOC101927849	
												RNF11									LOC101928052	
												USP21									LOC101928131	
												FOXD3									LINC01179	
												DIEXF									LINC01612	
												TRAPPC3									LOC101928279	
												TAF5L									LOC101928306	
												CACYBP									LOC101928314	
												HSPB7									LOC101928509	
												CHIA									LOC101928551	
												SLC39A1									LOC101928590	
												DISC2									LOC101928622	
												DISC1									LINC01099	
												ARHGEF16									WWC2-AS1	
												AHDC1									LINC01258	
												RNF115									LOC101928809	
												KLHL20									LOC101928851	
												TEKT2									LOC101928942	
												SMPDL3B									LINC01262	
												ANGPTL3									LOC101928978	
												LAMTOR2									LOC101929019	
												FLVCR1									LOC101929064	
												UBE2T									LINC01182	
												LINC00339									LOC101929095	
												CNIH4									LOC101929123	
												SSU72									LOC101929134	
												TMOD4									LOC101929161	
												GNL2									LOC101929194	
												GPSM2									LOC101929199	
												UBIAD1									LOC101929210	
												PYCR2									LOC101929353	
												NME7									LOC101929448	
												ALG6									LOC101929468	
												NENF									LOC101929529	
												PADI1									LOC101929577	
												IL19									LOC101929595	
												CERS2									LOC101929621	
												SLC25A24									LOC101929741	
												PLA2G2E									LOC101929762	
												DNTTIP2									LOC101930370	
												WRAP73									DEAR	
												CRNN									MIR7641-2	
												G0S2									MIR7849	
												IL20									MIR7978	
												SLC45A1									MIR8066	
												DCAF8									MIR8082	
												HP1BP3									MIR6082	
												F11R									MIR8053	
												TMED5									LOC102723704	
												RRP15									LOC102723766	
												GLRX2									LOC102723778	
												BOLA1									LOC102723828	
												CELA2B									LOC102724776	
												ZNF593									LINC01378	
												ZBTB7B									LINC01396	
												ZNF691									SMAD1-AS1	
												TXNDC12									LINC01256	
												TNNI3K									TET2-AS1	
												RRNAD1									STX18-IT1	
												ADIPOR1									LOC105369192	
												SH3GLB1									LOC105374344	
												MECR									LOC105374366	
												APH1A									LOC105374428	
												UTP11									LOC105374516	
												TRIM17									LOC105374546	
												KCTD3									LOC105377245	
												SDF4									LOC105377247	
												MRTO4									LOC105377267	
												PLEKHO1									LOC105377348	
												HAO2									LOC105377448	
												ACP6									LOC105377458	
												TMEM69									LOC105377480	
												MRPL37									LVCAT8	
												IER5									LOC105377590	
												HOOK1									LINC01596	
												SNX7									LOC105377621	
												UCHL5									LOC105377623	
												SUCO									LOC105377651	
												HPCAL4									LOC105377671	
												YTHDF2									SNORD143	
												GPR89B									SNORD144	
												HSD17B7									SNORA101A	
												UFC1										
												DTL										
												ZCCHC17										
												TRIM33										
												METTL13										
												DPH5										
												HSPB11										
												OAZ3										
												PADI3										
												CYB5R1										
												CMPK1										
												ARID4B										
												CD244										
												GPR88										
												ERRFI1										
												DPM3										
												WNT4										
												YIPF1										
												FBXO42										
												MRPS21										
												TRMT13										
												TMCO1										
												ADAMTSL4										
												CRCT1										
												RNF186										
												SPATA6										
												EGLN1										
												MXRA8										
												L1TD1										
												HES2										
												MAP10										
												RSBN1										
												ZNHIT6										
												GPN2										
												LEPROT										
												FBLIM1										
												MED18										
												TRIT1										
												GIPC2										
												SWT1										
												GDAP2										
												FAM46C										
												GON4L										
												GPATCH4										
												PALMD										
												FNBP1L										
												ST7L										
												PQLC2										
												CASZ1										
												LAX1										
												RHBDL2										
												DUSP23										
												ADPRHL2										
												TRNAU1AP										
												C1orf27										
												C1orf109										
												C1orf56										
												CPSF3L										
												C1orf123										
												C1orf159										
												MARC2										
												AURKAIP1										
												TTC22										
												MRPL20										
												AIM1L										
												SUSD4										
												TMEM51										
												RALGPS2										
												GPATCH2										
												BSDC1										
												XKR8										
												TMEM39B										
												PRPF38B										
												HEATR1										
												CDCA8										
												LRRC8D										
												MSTO1										
												DARS2										
												ARHGEF10L										
												PRMT6										
												RNF220										
												VPS13D										
												EVA1B										
												GOLPH3L										
												ATAD3A										
												TMEM57										
												KLHDC8A										
												TRIM62										
												ETNK2										
												RAVER2										
												PANK4										
												KIRREL										
												TMEM206										
												YY1AP1										
												ECHDC2										
												FGGY										
												MCOLN3										
												SLC22A15										
												YOD1										
												CAMK2N1										
												BATF3										
												SLC30A10										
												UBE2Q1										
												RNPC3										
												ITLN1										
												ASAP3										
												POMGNT1										
												PNRC2										
												LRRC40										
												DEPDC1										
												PIGV										
												NBPF1										
												IARS2										
												MAP7D1										
												IPO9										
												NDC1										
												NECAP2										
												IQCC										
												C1orf112										
												HHAT										
												DNAJC11										
												ENAH										
												NUP133										
												RCOR3										
												C1orf106										
												LRIF1										
												FAM63A										
												ADCY10										
												DCAF6										
												ASH1L										
												LENEP										
												CTTNBP2NL										
												RCC2										
												FAM212B										
												DMAP1										
												AJAP1										
												GNG12										
												SLC50A1										
												TMEM234										
												MTFR1L										
												SERTAD4										
												KYAT3										
												ERO1B										
												SLAMF8										
												CDC42SE1										
												UBQLN4										
												TMEM167B										
												OLFML3										
												SMYD2										
												LHX9										
												OTUD7B										
												COQ8A										
												CTNNBIP1										
												RSRP1										
												AGTRAP										
												PITHD1										
												RAB25										
												PGLYRP4										
												RHBG										
												MAN1C1										
												SCYL3										
												GJC2										
												CAMK1G										
												NIPAL3										
												SEPN1										
												ATP8B2										
												TP73-AS1										
												VANGL2										
												LINC00869										
												PBXIP1										
												S100A14										
												TMIGD3										
												PLEKHG5										
												GATAD2B										
												AMIGO1										
												LRRC47										
												ODF2L										
												CGN										
												KIAA1324										
												DISP3										
												IGSF9										
												LRRC7										
												SIPA1L2										
												KIF17										
												ZNF687										
												ZSWIM5										
												POGK										
												KIAA1522										
												HCN3										
												CACHD1										
												MIER1										
												KIAA1614										
												BRINP2										
												HES4										
												CCDC181										
												GRHL3										
												SLAMF7										
												CADM3										
												PTBP2										
												RHOU										
												PRUNE1										
												DNASE2B										
												DLGAP3										
												IL22RA1										
												HIVEP3										
												KLHL12										
												LGR6										
												GPBP1L1										
												HAPLN2										
												MIIP										
												GAS5										
												PAPPA2										
												CELA2A										
												BCAN										
												GPATCH3										
												TNN										
												MRPS14										
												DMRTB1										
												DMRTA2										
												CLSPN										
												PRDM16										
												OXCT2										
												RRAGC										
												ADGRL4										
												TINAGL1										
												P3H1										
												SEMA4A										
												TOR3A										
												RFWD2										
												RGS18										
												PLA2G2F										
												MFSD14A										
												NUCKS1										
												SMAP2										
												ACBD3										
												ATPAF1										
												MARC1										
												S100PBP										
												MEAF6										
												RBM15										
												EXO5										
												CEP85										
												ARV1										
												NMNAT1										
												ELOVL1										
												AIDA										
												VWA1										
												DCLRE1B										
												MRPS15										
												MRPL9										
												PINK1										
												JMJD4										
												MARCKSL1										
												PRAMEF1										
												PRAMEF2										
												INTS3										
												NADK										
												ZFP69B										
												COA7										
												PHACTR4										
												AUNIP										
												SCNM1										
												ERI3										
												C1orf50										
												WDR77										
												C1orf116										
												LINC00626										
												CCDC28B										
												C1orf35										
												EFHD2										
												MMEL1										
												RSG1										
												FCRL2										
												DLEU2L										
												OR4F5										
												NKAIN1										
												TTC13										
												EPS8L3										
												CDC73										
												MRPL24										
												MUL1										
												PGBD5										
												TNFAIP8L2										
												C1orf54										
												TMEM53										
												AKIRIN1										
												HECTD3										
												BEND5										
												VTCN1										
												YRDC										
												ZYG11B										
												NOL9										
												PPCS										
												LIN28A										
												SH3D21										
												TTLL7										
												SNIP1										
												C1orf115										
												HHIPL2										
												VASH2										
												AGMAT										
												WDR78										
												ZMYM1										
												LINC00115										
												RPAP2										
												MORN1										
												FAM110D										
												KIAA0319L										
												DHDDS										
												PAQR6										
												DENND2D										
												WLS										
												PCNX2										
												GPR157										
												TRIM46										
												MROH9										
												RPF1										
												SIKE1										
												ZC3H12A										
												SPSB1										
												TARS2										
												WDR26										
												TRIM45										
												EDEM3										
												FLAD1										
												TRAF3IP3										
												CPTP										
												ZNF436										
												TAS1R2										
												TAS1R1										
												NPL										
												GJA9										
												OR4F16										
												OR6N2										
												OR6K2										
												SYNC										
												CFHR5										
												TRIM11										
												C1orf21										
												ACTL8										
												ANKRD13C										
												NECTIN4										
												SNX27										
												ANP32E										
												SHCBP1L										
												TRMT1L										
												TSSK3										
												CCNL2										
												NUAK2										
												VANGL1										
												ST6GALNAC5										
												ISG20L2										
												HYI										
												FCRL5										
												FCRL4										
												SH3BGRL3										
												DDX59										
												NUF2										
												RASSF5										
												SESN2										
												ESPN										
												TAS1R3										
												ATAD3B										
												HMCN1										
												GPR61										
												MIXL1										
												STK40										
												SPRTN										
												TM2D1										
												FCAMR										
												REG4										
												OBSCN										
												TMEM222										
												TEX35										
												PLEKHN1										
												HORMAD1										
												TOMM40L										
												SYDE2										
												ZNF644										
												USP48										
												ZMYND12										
												NBPF3										
												LRRC8C										
												ZDHHC18										
												SGIP1										
												POLR3GL										
												SLC25A33										
												TMEM79										
												NTPCR										
												DDI2										
												ACBD6										
												LZIC										
												PROK1										
												MLK4										
												EFCAB7										
												ZBTB37										
												NT5C1A										
												LCE3D										
												TRIM63										
												LINC00260										
												PSRC1										
												FAM167B										
												LINC00467										
												FOXD2-AS1										
												PERM1										
												CROCCP2										
												FCRLA										
												ANKRD36BP1										
												HPDL										
												ATP1A1-AS1										
												AGBL4										
												MFSD2A										
												C1orf198										
												PPP1R15B										
												ATG4C										
												MAEL										
												PRPF38A										
												SYTL1										
												IGSF21										
												LSM10										
												C1orf94										
												DISP1										
												SNHG12										
												STRIP1										
												RGS8										
												SLC45A3										
												DOCK7										
												CFAP74										
												WNT3A										
												NAV1										
												SEC16B										
												AQP10										
												LHX4										
												SLAMF9										
												KIAA2013										
												THAP3										
												STPG1										
												PYGO2										
												ANGEL2										
												SPOCD1										
												ZNF697										
												IGFN1										
												NUP210L										
												BTF3L4										
												UBXN11										
												NEXN										
												CENPL										
												DUSP27										
												RCSD1										
												MEX3A										
												METTL18										
												GORAB										
												C1orf105										
												TMEM183A										
												HIST3H2A										
												PIGM										
												IGSF8										
												C1orf158										
												LEMD1										
												FBXO44										
												ATPIF1										
												SNORD46										
												SNORD38A										
												SNORD38B										
												DNAJA1P5										
												GLMP										
												MED8										
												KTI12										
												SMIM12										
												AZIN2										
												TMEM54										
												HENMT1										
												TOE1										
												ERMAP										
												PGLYRP3										
												CSMD2										
												MYSM1										
												GNRHR2										
												CROCCP3										
												FHAD1										
												SLAMF6										
												OSBPL9										
												SLC26A9										
												LOC115110										
												OMA1										
												RAB42										
												FCRL1										
												FCRL3										
												LRRC42										
												GBP4										
												GBP5										
												FAM46B										
												FMO9P										
												RBP7										
												TSEN15										
												FAM129A										
												SNAP47										
												ACAP3										
												TADA1										
												THEM4										
												SH2D1B										
												SSX2IP										
												UBE2J2										
												OLFM3										
												GABPB2										
												TCHHL1										
												RPTN										
												CCDC163										
												TDRD10										
												SHE										
												KDF1										
												CCSAP										
												LRRC38										
												AADACL3										
												PUSL1										
												B3GALT6										
												WDR63										
												KLHDC9										
												AXDND1										
												MAB21L3										
												IFFO2										
												SLC44A3										
												ATXN7L2										
												C1orf194										
												LYPLAL1										
												ATP6V1G3										
												ASB17										
												TYW3										
												ERICH3										
												LRRIQ3										
												TPRG1L										
												FAM213B										
												MYOM3										
												DMBX1										
												OR10J5										
												TMCO2										
												ZNF684										
												TCEANC2										
												PODN										
												LRRC39										
												GJB4										
												HMGB4										
												RNF19B										
												A3GALT2										
												DCST2										
												DNAH14										
												ZNF648										
												TEDDM1										
												C1orf122										
												OSCP1										
												C1orf216										
												KLHDC7A										
												VWA5B1										
												UBXN10										
												C1orf87										
												ARL8A										
												SYT2										
												LINC00628										
												GOLT1A										
												UHMK1										
												FCRLB										
												C1orf131										
												LIX1L										
												HSD3BP4										
												SPATA17										
												EDARADD										
												KLF17										
												TMEM125										
												TSACC										
												IQGAP3										
												NAXE										
												ARHGEF19										
												MRPL55										
												HIST3H2BB										
												DRAM2										
												PIFO										
												C1orf162										
												OR10T2										
												OR6P1										
												OR10X1										
												OR10Z1										
												OR6K6										
												OR6N1										
												TATDN3										
												S100A16										
												NEK7										
												ACTRT2										
												MIB2										
												ITLN2										
												SYT6										
												C1orf74										
												CREB3L4										
												C1orf127										
												BROX										
												SAMD11										
												LOC148413										
												SAMD13										
												C1orf52										
												PHF13										
												CIART										
												TMEM56										
												NBPF4										
												UBE2U										
												SLC35F3										
												LINC00337										
												LOC148696										
												LOC148709										
												PTPRVP										
												HFE2										
												ANKRD35										
												FAM163A										
												OVAAL										
												B3GALNT2										
												MFSD4A										
												PM20D1										
												SLC30A7										
												CCDC27										
												ZNF436-AS1										
												KNCN										
												MOB3C										
												GLIS1										
												NBPF12										
												LELP1										
												RC3H1										
												MGC27382										
												DCDC2B										
												ZNF362										
												LINC01225										
												DCST1										
												CNIH3										
												MANEAL										
												IL23R										
												METTL11B										
												FAM78B										
												SHISA4										
												EXOC8										
												LOC149373										
												PDIK1L										
												BNIPL										
												CLDN19										
												CFAP57										
												C1orf210										
												CCDC24										
												BTBD19										
												CCDC17										
												LRRC71										
												C1orf64										
												RNF187										
												CHIAP2										
												PYHIN1										
												SPATA45										
												FAM71A										
												SLC2A7										
												DENND2C										
												GBP6										
												PLPPR5										
												FNDC7										
												DENND1B										
												TDRD5										
												TOR1AIP2										
												CALML6										
												IFNLR1										
												CYP4Z2P										
												CITED4										
												SLC25A3P1										
												LEXM										
												SPRR4										
												KANK4										
												SASS6										
												SDE2										
												FAM43B										
												HFM1										
												PAQR7										
												TTC24										
												CCDC185										
												UBL4B										
												NUDT4P2										
												PDIA3P1										
												OXCT2P1										
												AGO3										
												AGO4										
												LCE4A										
												ALG14										
												FAM76A										
												LINC00466										
												C1orf168										
												TMEM201										
												TMEM61										
												CYP4Z1										
												FAAP20										
												CDCP2										
												SLC5A9										
												CC2D1B										
												NBPF11										
												NUDT17										
												FLJ23867										
												TXLNA										
												TCTEX1D1										
												SPAG17										
												SLFNL1										
												KRTCAP2										
												CRTC2										
												TMEM51-AS1										
												IBA57										
												HIPK1										
												SLC44A5										
												ATAD3C										
												AKR7L										
												AKR7A2P1										
												TMEM9										
												FNDC5										
												EPHX4										
												LINC01342										
												TTLL10										
												AKNAD1										
												SLC41A1										
												LCE5A										
												TMCO4										
												MCOLN2										
												COL24A1										
												PCSK9										
												SYT14										
												ST6GALNAC3										
												ZNF683										
												ARHGAP30										
												CFAP126										
												NEGR1										
												ASPM										
												MDS2										
												CYP4X1										
												MAGI3										
												TIPRL										
												NPHP4										
												BEST4										
												FAM19A3										
												RIIAD1										
												THEM5										
												C1orf167										
												SLC9C2										
												CYP4A22										
												C1orf185										
												LINC01226										
												NBPF15										
												LINC00303										
												LEMD1-AS1										
												LOC284578										
												LOC284581										
												FAM41C										
												FAM102B										
												SYPL2										
												CYB561D1										
												ANKRD34A										
												RUSC1-AS1										
												LOC284632										
												LOC284648										
												SMG7-AS1										
												RSPO1										
												EPHA10										
												LOC284661										
